Age,????????,?????? ????????????,????????????? ????? ? jira,Department,DistanceFromHome,Education,EducationField,???????????,????? ??????????,????????????????? ?????????,Gender,HourlyRate,??????? ?????????????,??????? ??????????,JobRole,JobSatisfaction,???????? ?????????,??????? ????? ?? ????,?????? 18,?????? ??????,????  ???????? ?? ???????? ??? %,??????? ????????????,??????? ??????????,????????? ????? ? ??????,????? ???? ??????,?????????? ?????????? ????????? ? ????????,?????? ??????? ????? ? ??????,?????? ? ???
24,Yes,??,813,??????????,1,3,??????????,1,45,2,???????,61,3,1,Frontend ???????????,4,???????/?????,2293,Y,Yes,16,3,1,40,6,2,2,2
50,Yes,??,869,?????????????,3,2,???????,1,47,1,???????,86,2,1,????????????? Representative,3,???????/?????,2683,Y,Yes,14,3,3,40,3,2,3,3
36,No,??,852,??????????,5,4,????????,1,51,2,???????,82,2,1,Frontend ???????????,1,???????/?????,3419,Y,Yes,14,3,4,40,6,3,4,1
46,No,???,1211,?????????????,5,4,???????,1,62,1,???????,98,3,2,???????? ?????????????,4,??????,5772,Y,Yes,21,4,3,40,14,4,3,9
48,Yes,??,626,??????????,1,2,????????,1,64,1,???????,98,2,3,Backend ???????????,3,??????,5381,Y,Yes,13,3,4,40,23,2,3,1
28,Yes,??,1434,??????????,5,4,??????? ?.?.?,1,65,3,???????,50,3,1,Backend ???????????,3,??????,3441,Y,Yes,13,3,3,40,2,3,2,2
44,No,??,1488,?????????????,1,5,???????,1,68,2,???????,75,3,2,???????? ?????????????,1,????????,5454,Y,Yes,21,4,3,40,9,2,2,4
35,No,???,1097,??????????,11,2,??????????,1,70,3,???????,79,2,3,??????,1,???????/?????,9884,Y,Yes,13,3,3,40,10,3,3,4
26,No,??,1443,?????????????,23,3,???????,1,72,3,???????,47,2,2,???????? ?????????????,4,???????/?????,4157,Y,Yes,19,3,3,40,5,2,2,2
33,No,???,515,??????????,1,2,????????,1,73,1,???????,98,3,3,???????????? ??????,4,??????,13458,Y,Yes,12,3,3,40,15,1,3,15
35,No,??,1142,??????????,23,4,??????????,1,75,3,???????,30,3,1,Backend ???????????,1,???????/?????,4014,Y,Yes,15,3,3,40,4,3,3,2
32,No,??,427,??????????,1,3,??????????,1,78,1,???????,33,3,2,Team Leader,4,???????/?????,6162,Y,Yes,22,4,2,40,9,3,3,9
50,No,??,989,??????????,7,2,??????????,1,40,2,???????,43,2,5,???????????? ??????,3,????????,18740,Y,Yes,12,3,4,40,29,2,2,27
55,No,??,836,??????????,8,3,??????????,1,84,4,???????,33,3,4,???????? ???????,3,????????,14756,Y,Yes,14,3,3,40,21,2,3,5
36,Yes,??,318,??????????,9,3,??????????,1,90,4,???????,79,2,1,Frontend ???????????,3,???????/?????,3388,Y,Yes,17,3,1,40,2,0,2,1
45,No,??,193,??????????,6,4,???????????? ??????/???,1,101,4,???????,52,3,3,???????????? ??????,1,???????/?????,13245,Y,Yes,14,3,2,40,17,3,4,0
46,No,??,945,????????????,5,2,??????????,1,103,2,???????,40,3,2,??????/????????? ???????,2,????????,5021,Y,Yes,22,4,4,40,16,2,3,4
30,No,??,852,??????????,1,1,????????,1,104,4,???????,55,2,2,Backend ???????????,4,???????/?????,5126,Y,Yes,12,3,3,40,10,1,2,10
38,No,???,573,??????????,6,3,??????????,1,107,2,???????,79,1,2,Frontend ???????????,4,????????,5329,Y,Yes,12,3,4,40,17,3,3,13
51,No,??,632,?????????????,21,4,???????,1,120,3,???????,71,3,2,???????? ?????????????,4,??????,5441,Y,Yes,22,4,4,40,11,2,1,10
30,No,??,1334,?????????????,4,2,??????????,1,121,3,???????,63,2,2,???????? ?????????????,2,????????,5209,Y,Yes,12,3,2,40,11,4,2,11
46,No,???,638,??????????,1,3,??????????,1,124,3,???????,40,2,3,??????,1,???????/?????,10673,Y,Yes,13,3,3,40,21,5,2,10
37,Yes,??,407,????????????,6,4,????????????,1,133,3,???????,63,3,1,??????/????????? ???????,1,????????,2073,Y,Yes,22,4,4,40,7,3,3,3
20,Yes,???,871,??????????,6,3,????????,1,137,4,???????,66,2,1,Backend ???????????,4,??????,2926,Y,Yes,18,3,2,40,1,5,3,1
50,No,???,1115,??????????,1,3,????????,1,141,1,???????,73,3,5,???????????? ??????,2,???????/?????,18172,Y,Yes,19,3,1,40,28,1,2,8
25,Yes,??,240,?????????????,5,3,???????,1,142,3,???????,46,2,2,???????? ?????????????,3,??????,5744,Y,Yes,11,3,4,40,6,1,3,6
34,Yes,???,658,??????????,7,3,????????,1,147,1,???????,66,1,2,Backend ???????????,3,??????,6074,Y,Yes,24,4,4,40,9,3,3,9
54,No,???,142,????????????,26,3,????????????,1,148,4,???????,30,4,4,???????? ???????,4,??????,17328,Y,Yes,12,3,3,40,23,3,3,5
43,No,???,394,?????????????,26,2,????????,1,158,3,???????,92,3,4,???????? ???????,4,???????/?????,16959,Y,Yes,12,3,4,40,25,3,4,25
56,Yes,??,441,??????????,14,4,????????,1,161,2,???????,72,3,1,Frontend ???????????,2,???????/?????,4963,Y,Yes,18,3,1,40,7,2,3,5
31,Yes,??,249,?????????????,6,4,????????,1,163,2,???????,76,1,2,???????? ?????????????,3,???????/?????,6172,Y,Yes,18,3,2,40,12,3,2,7
19,Yes,??,528,?????????????,22,1,???????,1,167,4,???????,50,3,1,????????????? Representative,3,??????,1675,Y,Yes,19,3,4,40,0,2,2,0
31,Yes,??,542,?????????????,20,3,????????,1,175,2,???????,71,1,2,???????? ?????????????,3,???????/?????,4559,Y,Yes,11,3,3,40,4,2,3,2
41,No,??,402,?????????????,9,1,????????,1,176,3,???????,96,3,3,???????? ?????????????,3,????????,8189,Y,Yes,13,3,3,40,12,2,3,9
30,No,??,1240,????????????,9,3,????????????,1,184,3,???????,48,3,2,??????/????????? ???????,4,???????/?????,6347,Y,Yes,19,3,4,40,12,2,1,11
38,No,??,364,??????????,3,5,??????? ?.?.?,1,193,4,???????,32,3,2,Frontend ???????????,3,??????,4317,Y,Yes,20,4,2,40,19,2,3,3
53,No,??,1436,?????????????,6,2,???????,1,205,2,???????,34,3,2,????????????? Representative,3,???????/?????,2306,Y,Yes,20,4,4,40,13,3,1,7
58,No,??,1145,??????????,9,3,??????????,1,214,2,???????,75,2,1,Frontend ???????????,2,???????/?????,3346,Y,Yes,20,4,2,40,9,3,2,1
57,No,??,334,??????????,24,2,????????,1,223,3,???????,83,4,3,??????,4,????????,9439,Y,Yes,16,3,2,40,12,2,1,5
27,No,???,1450,??????????,3,3,??????????,1,224,3,???????,79,2,1,Frontend ???????????,3,????????,2566,Y,Yes,15,3,4,40,1,2,2,1
27,No,??,1157,??????????,17,3,??????? ?.?.?,1,233,3,???????,51,3,1,Frontend ???????????,2,???????/?????,3058,Y,Yes,16,3,4,40,6,3,2,5
45,No,??,1268,?????????????,4,2,????????,1,240,3,???????,30,3,2,???????? ?????????????,1,????????,5006,Y,Yes,11,3,1,40,9,3,4,5
56,No,??,713,??????????,8,3,????????,1,241,3,???????,67,3,1,Frontend ???????????,1,????????,4257,Y,Yes,18,3,3,40,19,3,3,2
31,No,??,140,??????????,12,1,??????????,1,246,3,???????,95,3,1,Frontend ???????????,4,???????/?????,3929,Y,Yes,23,4,3,40,7,0,3,4
41,Yes,??,1356,?????????????,20,2,???????,1,248,2,???????,70,3,1,????????????? Representative,2,??????,3140,Y,Yes,22,4,4,40,4,5,2,4
35,Yes,??,556,??????????,23,2,????????,1,261,2,???????,50,2,2,Team Leader,3,???????/?????,5916,Y,Yes,13,3,1,40,8,1,3,1
37,No,??,290,??????????,21,3,????????,1,267,2,???????,65,4,1,Frontend ???????????,1,???????/?????,3564,Y,Yes,12,3,1,40,8,3,2,8
49,No,???,1002,??????????,18,4,????????,1,275,4,???????,92,3,2,Team Leader,4,????????,6404,Y,Yes,15,3,1,40,7,0,3,7
34,No,???,878,??????????,10,4,??????????,1,277,4,???????,43,3,1,Frontend ???????????,3,????????,3815,Y,Yes,17,3,4,40,5,4,4,5
40,No,??,905,??????????,19,2,??????????,1,281,3,???????,99,3,2,Backend ???????????,4,???????/?????,2741,Y,Yes,15,3,3,40,15,2,4,7
38,Yes,??,1140,??????????,29,1,??????????,1,282,2,???????,70,3,2,??????,1,???????/?????,6673,Y,Yes,19,3,2,40,17,2,3,1
22,No,??,1136,??????????,5,3,????????,1,284,4,???????,60,4,1,Frontend ???????????,2,????????,2328,Y,Yes,16,3,1,40,4,2,2,4
30,Yes,??,1005,??????????,3,3,??????? ?.?.?,1,297,4,???????,88,3,1,Frontend ???????????,1,??????,2657,Y,Yes,11,3,3,40,8,5,3,5
41,No,??,896,?????????????,6,3,????????,1,298,4,???????,75,3,3,???????? ???????,4,??????,13591,Y,Yes,18,3,3,40,16,3,3,1
37,No,???,663,??????????,11,3,???????????? ??????/???,1,306,2,???????,47,3,3,???????????? ??????,4,????????,12185,Y,Yes,14,3,3,40,10,1,3,10
29,Yes,??,896,??????????,18,1,??????????,1,315,3,???????,86,2,1,Frontend ???????????,4,??????,2389,Y,Yes,13,3,3,40,4,3,2,4
33,Yes,??,813,??????????,14,3,??????????,1,325,3,???????,58,3,1,Backend ???????????,4,???????/?????,2436,Y,Yes,13,3,3,40,8,2,1,5
43,No,??,1034,?????????????,16,3,???????,1,327,4,???????,40,3,4,???????? ???????,4,???????/?????,16064,Y,Yes,22,4,3,40,22,3,3,17
52,No,???,771,?????????????,2,4,????????,1,329,1,???????,79,2,5,???????? ???????,3,??????,19068,Y,Yes,18,3,4,40,33,2,4,33
32,Yes,??,515,??????????,1,3,????????,1,331,4,???????,62,2,1,Backend ???????????,3,??????,3730,Y,Yes,14,3,4,40,4,2,1,3
42,No,??,916,??????????,17,2,????????,1,347,4,???????,82,4,2,Frontend ???????????,1,??????,6545,Y,Yes,13,3,3,40,10,1,3,3
42,No,??,269,??????????,2,3,??????????,1,351,4,???????,56,2,1,Backend ???????????,1,????????,2593,Y,Yes,11,3,3,40,10,4,3,9
46,No,??,488,?????????????,2,3,??????? ?.?.?,1,363,3,???????,75,1,4,???????? ???????,2,???????/?????,16872,Y,Yes,12,3,2,40,28,2,2,7
45,No,??,1385,??????????,20,2,??????????,1,372,3,???????,79,3,4,??????,4,???????/?????,13496,Y,Yes,14,3,2,40,21,2,3,20
55,No,??,452,??????????,1,3,??????????,1,374,4,???????,81,3,5,???????? ???????,1,??????,19045,Y,Yes,14,3,3,40,37,2,3,36
47,Yes,???,666,??????????,29,4,????????,1,376,1,???????,88,3,3,???????? ???????,2,???????/?????,11849,Y,Yes,12,3,4,40,10,2,2,10
37,No,???,728,??????????,1,4,??????????,1,340,1,???????,40,3,3,???????????? ??????,4,????????,13603,Y,Yes,18,3,1,40,15,2,3,5
38,No,??,322,?????????????,7,2,??????????,1,382,1,???????,44,4,2,???????? ?????????????,1,????????,5605,Y,Yes,24,4,3,40,8,3,3,8
53,No,??,1070,??????????,3,4,??????????,1,386,3,???????,45,3,4,???????????? ??????,3,???????/?????,17584,Y,Yes,16,3,4,40,21,5,2,5
55,No,??,147,??????????,20,2,??????? ?.?.?,1,389,2,???????,37,3,2,Backend ???????????,4,???????/?????,5415,Y,Yes,19,3,4,40,12,4,3,10
26,No,???,496,??????????,11,2,??????????,1,390,1,???????,60,3,2,??????,1,???????/?????,4741,Y,Yes,13,3,3,40,5,3,3,5
44,Yes,???,920,??????????,24,3,????????,1,392,4,???????,43,3,1,Backend ???????????,3,????????,3161,Y,Yes,22,4,4,40,19,0,1,1
26,Yes,??,1449,??????????,16,4,??????????,1,394,1,???????,45,3,1,Backend ???????????,2,????????,2373,Y,Yes,13,3,4,40,5,2,3,3
49,No,???,636,??????????,10,4,????????,1,396,3,???????,35,3,5,???????????? ??????,1,??????,18665,Y,Yes,11,3,4,40,22,4,3,3
26,Yes,??,950,?????????????,4,4,???????,1,401,4,???????,48,2,2,???????? ?????????????,4,??????,5828,Y,Yes,12,3,2,40,8,0,3,8
37,No,???,889,??????????,9,3,??????????,1,403,2,???????,53,3,1,Frontend ???????????,4,???????/?????,2326,Y,Yes,12,3,3,40,4,3,2,4
58,No,???,390,??????????,1,4,????????,1,422,4,???????,32,1,2,??????,3,????????,5660,Y,Yes,13,3,4,40,12,2,3,5
31,No,??,691,??????????,5,4,??????? ?.?.?,1,423,3,???????,86,3,1,Frontend ???????????,4,???????/?????,4821,Y,Yes,12,3,3,40,6,4,3,5
31,No,??,192,??????????,2,4,????????,1,426,3,???????,32,3,1,Frontend ???????????,4,????????,2695,Y,Yes,18,3,2,40,3,2,1,2
39,No,??,117,??????????,10,1,??????????,1,429,3,???????,99,3,4,???????? ???????,1,???????/?????,17068,Y,Yes,14,3,4,40,21,3,3,21
49,No,??,1091,??????????,1,2,??????? ?.?.?,1,431,3,???????,90,2,4,??????,3,??????,13964,Y,Yes,12,3,4,40,25,2,3,7
27,No,??,1220,??????????,5,3,????????,1,434,3,???????,85,3,1,Frontend ???????????,2,??????,2478,Y,Yes,12,3,2,40,4,2,2,4
32,No,??,588,?????????????,8,2,??????? ?.?.?,1,436,3,???????,65,2,2,???????? ?????????????,2,???????/?????,5228,Y,Yes,11,3,4,40,13,2,3,13
27,No,??,1377,?????????????,2,3,????????,1,437,4,???????,74,3,2,???????? ?????????????,3,??????,4478,Y,Yes,11,3,1,40,5,3,3,5
28,Yes,??,1157,??????????,2,4,??????????,1,440,1,???????,84,1,1,Frontend ???????????,4,???????/?????,3464,Y,Yes,13,3,4,40,5,4,2,3
39,Yes,??,1162,?????????????,3,2,??????????,1,445,4,???????,41,3,2,???????? ?????????????,3,???????/?????,5238,Y,Yes,18,3,1,40,12,3,2,1
27,No,???,210,?????????????,1,1,???????,1,449,3,???????,73,3,2,???????? ?????????????,2,???????/?????,6349,Y,Yes,13,3,4,40,6,0,3,5
40,No,??,1124,?????????????,1,2,??????????,1,453,2,???????,57,1,2,???????? ?????????????,4,???????/?????,7457,Y,Yes,22,4,3,40,6,2,2,4
29,Yes,??,318,??????????,8,4,???????????? ??????/???,1,454,2,???????,77,1,1,Backend ???????????,1,???????/?????,2119,Y,Yes,11,3,4,40,7,4,2,7
38,No,??,343,??????????,15,2,????????,1,461,3,???????,92,2,3,???????????? ??????,4,????????,11510,Y,Yes,14,3,2,40,12,3,3,11
31,No,??,1232,??????????,7,4,??????????,1,462,3,???????,39,3,3,Team Leader,4,??????,7143,Y,Yes,14,3,3,40,11,2,2,11
29,No,??,144,?????????????,10,1,???????,1,463,4,???????,39,2,2,???????? ?????????????,2,????????,8268,Y,Yes,14,3,1,40,7,2,3,7
41,No,??,483,??????????,6,3,??????????,1,466,4,???????,95,2,2,Team Leader,2,??????,6032,Y,Yes,15,3,4,40,8,3,3,5
42,No,??,544,????????????,2,1,??????? ?.?.?,1,470,3,???????,52,3,1,??????/????????? ???????,3,????????,2696,Y,Yes,11,3,3,40,4,5,3,3
37,No,??,1319,??????????,6,3,??????????,1,474,3,???????,51,4,2,Frontend ???????????,1,????????,5974,Y,Yes,13,3,1,40,13,2,3,7
30,No,???,641,?????????????,25,2,??????? ?.?.?,1,475,4,???????,85,3,2,???????? ?????????????,3,???????/?????,4736,Y,Yes,12,3,2,40,4,2,4,2
21,Yes,???,756,?????????????,1,1,??????? ?.?.?,1,478,1,???????,99,2,1,????????????? Representative,2,??????,2174,Y,Yes,11,3,3,40,3,3,3,3
40,No,??,1171,??????????,10,4,????????,1,483,4,???????,46,4,1,Backend ???????????,3,???????/?????,2213,Y,Yes,13,3,3,40,10,3,3,7
33,Yes,??,350,?????????????,5,3,???????,1,485,4,???????,34,3,1,????????????? Representative,3,??????,2851,Y,Yes,13,3,2,40,1,2,3,1
40,Yes,??,575,?????????????,22,2,???????,1,492,3,???????,68,2,2,???????? ?????????????,3,???????/?????,6340,Y,Yes,12,3,1,40,8,6,3,6
31,No,??,408,??????????,9,4,????????,1,493,3,???????,42,2,1,Frontend ???????????,2,??????,2657,Y,Yes,16,3,4,40,3,5,3,2
34,Yes,???,1362,?????????????,19,3,???????,1,502,1,???????,67,4,2,???????? ?????????????,4,??????,5304,Y,Yes,13,3,2,40,9,3,2,5
55,No,??,1311,??????????,2,3,????????,1,505,3,???????,97,3,4,???????? ???????,4,??????,16659,Y,Yes,13,3,3,40,30,2,3,5
24,No,??,1371,?????????????,10,4,???????,1,507,4,???????,77,3,2,???????? ?????????????,3,????????,4260,Y,Yes,12,3,4,40,5,2,4,5
30,Yes,???,464,??????????,4,3,??????? ?.?.?,1,514,3,???????,40,3,1,Frontend ???????????,4,??????,2285,Y,Yes,23,4,3,40,3,4,3,1
37,No,??,1305,??????????,10,4,????????,1,518,3,???????,49,3,2,Team Leader,2,??????,4197,Y,Yes,12,3,4,40,18,2,2,1
43,No,??,1473,??????????,8,4,???????????? ??????/???,1,526,3,???????,74,3,2,??????,3,????????,4522,Y,Yes,14,3,4,40,8,3,3,5
25,No,??,891,?????????????,4,2,????????,1,527,2,???????,99,2,2,???????? ?????????????,4,??????,4487,Y,Yes,11,3,2,40,5,3,3,5
37,No,???,1063,??????????,25,5,??????????,1,529,2,???????,72,3,2,Frontend ???????????,3,???????/?????,4449,Y,Yes,15,3,1,40,15,2,3,13
39,No,???,1218,??????????,1,1,????????,1,531,2,???????,52,3,5,???????? ???????,3,????????,19197,Y,Yes,14,3,3,40,21,3,3,21
52,No,??,319,??????????,3,3,??????????,1,543,4,???????,39,2,3,Team Leader,3,???????/?????,7969,Y,Yes,14,3,3,40,28,4,3,5
24,Yes,??,1448,?????????????,1,1,??????? ?.?.?,1,554,1,???????,62,3,1,????????????? Representative,2,??????,3202,Y,Yes,16,3,2,40,6,4,3,5
38,No,???,1490,??????????,2,2,????????,1,556,4,???????,42,3,1,Backend ???????????,4,???????/?????,1702,Y,Yes,23,4,3,40,1,3,3,1
46,No,??,1125,?????????????,10,3,???????,1,540,3,???????,94,2,3,???????? ?????????????,4,???????/?????,9071,Y,Yes,19,3,3,40,15,3,3,3
33,Yes,??,1277,??????????,15,1,??????????,1,582,2,???????,56,3,3,???????? ???????,3,???????/?????,13610,Y,Yes,12,3,4,40,15,2,4,7
35,No,??,1276,??????????,16,3,????????,1,586,4,???????,72,3,3,??????,3,???????/?????,7632,Y,Yes,12,3,3,40,10,2,3,8
34,Yes,???,988,????????????,23,3,????????????,1,590,2,???????,43,3,3,??????/????????? ???????,1,????????,9950,Y,Yes,15,3,3,40,11,2,3,3
31,No,??,828,?????????????,2,1,????????,1,604,2,???????,77,3,2,???????? ?????????????,4,??????,6582,Y,Yes,13,3,3,40,10,2,4,6
42,No,??,319,??????????,24,3,??????????,1,605,4,???????,56,3,3,Team Leader,1,???????/?????,7406,Y,Yes,21,4,4,40,10,5,2,10
26,Yes,???,426,????????????,17,4,????????,1,608,2,???????,58,3,1,??????/????????? ???????,3,????????,2741,Y,Yes,11,3,2,40,8,2,2,7
18,Yes,???,1306,?????????????,5,3,???????,1,614,2,???????,69,3,1,????????????? Representative,2,??????,1878,Y,Yes,14,3,4,40,0,3,3,0
41,No,???,509,??????????,2,4,???????????? ??????/???,1,616,1,???????,62,2,2,??????,3,??????,6811,Y,Yes,17,3,1,40,10,3,3,8
26,Yes,??,471,??????????,24,3,??????? ?.?.?,1,622,3,???????,66,1,1,Backend ???????????,4,??????,2340,Y,Yes,18,3,2,40,1,3,1,1
52,No,??,956,??????????,6,2,??????? ?.?.?,1,630,4,???????,78,3,2,Frontend ???????????,1,????????,5577,Y,Yes,12,3,2,40,18,3,3,10
49,No,??,1245,??????????,18,4,????????,1,638,4,???????,58,2,5,???????????? ??????,3,????????,19502,Y,Yes,17,3,3,40,31,5,3,31
24,No,??,691,??????????,23,3,??????????,1,639,2,???????,89,4,1,Frontend ???????????,4,???????/?????,2725,Y,Yes,11,3,2,40,6,3,3,6
24,Yes,???,1287,??????????,7,3,????????,1,647,1,???????,55,3,1,Backend ???????????,3,???????/?????,2886,Y,Yes,16,3,4,40,6,4,3,6
34,No,??,254,??????????,1,2,????????,1,649,2,???????,83,2,1,Frontend ???????????,4,???????/?????,3622,Y,Yes,13,3,4,40,6,3,3,6
37,No,??,558,?????????????,2,3,???????,1,656,4,???????,75,3,2,???????? ?????????????,3,???????/?????,9602,Y,Yes,11,3,3,40,17,3,2,3
43,No,??,782,??????????,6,4,???????????? ??????/???,1,661,2,???????,50,2,4,???????????? ??????,4,????????,16627,Y,Yes,14,3,3,40,21,3,2,1
43,No,???,1001,??????????,9,5,??????????,1,663,4,???????,72,3,2,Backend ???????????,3,????????,5679,Y,Yes,13,3,2,40,10,3,3,8
34,No,??,204,?????????????,14,3,??????? ?.?.?,1,666,3,???????,31,3,1,????????????? Representative,3,????????,2579,Y,Yes,18,3,4,40,8,3,3,8
44,No,??,1315,??????????,3,4,???????????? ??????/???,1,671,4,???????,35,3,5,???????? ???????,4,???????/?????,19513,Y,Yes,12,3,1,40,26,2,4,2
32,No,??,646,??????????,9,4,????????,1,679,1,???????,92,3,2,Frontend ???????????,4,???????/?????,6322,Y,Yes,12,3,4,40,6,2,2,6
26,No,??,991,??????????,6,3,????????,1,686,3,???????,71,3,1,Backend ???????????,4,???????/?????,2659,Y,Yes,13,3,3,40,3,2,3,3
36,No,??,913,??????????,9,2,??????????,1,699,2,???????,48,2,2,Team Leader,2,????????,8847,Y,Yes,11,3,3,40,13,2,3,3
20,Yes,??,1362,??????????,10,1,??????????,1,701,4,???????,32,3,1,Frontend ???????????,3,??????,1009,Y,Yes,11,3,4,40,1,5,3,1
33,Yes,???,1076,??????????,3,3,????????,1,702,1,???????,70,3,1,Frontend ???????????,1,??????,3348,Y,Yes,11,3,1,40,10,3,3,10
27,No,???,1410,?????????????,3,1,??????????,1,714,4,???????,71,4,2,???????? ?????????????,4,????????,4647,Y,Yes,20,4,2,40,6,3,3,6
50,No,??,1207,??????????,28,1,??????????,1,716,4,???????,74,4,1,Backend ???????????,3,???????/?????,3221,Y,Yes,11,3,3,40,20,3,3,20
50,Yes,???,562,?????????????,8,2,??????? ?.?.?,1,723,2,???????,50,3,2,???????? ?????????????,3,???????/?????,6796,Y,Yes,14,3,1,40,18,4,3,4
40,No,???,540,?????????????,5,4,????????,1,729,4,???????,48,2,3,???????? ?????????????,1,???????/?????,10475,Y,Yes,21,4,3,40,20,2,3,18
28,Yes,??,654,??????????,1,2,????????,1,741,1,???????,67,1,1,Frontend ???????????,2,??????,2216,Y,Yes,13,3,4,40,10,4,3,7
38,No,??,168,??????????,1,3,????????,1,743,3,???????,81,3,3,Team Leader,3,??????,7861,Y,Yes,14,3,4,40,10,4,4,1
47,No,???,217,?????????????,3,3,??????????,1,746,4,???????,49,3,4,???????? ?????????????,3,????????,13770,Y,Yes,12,3,4,40,28,2,2,22
42,Yes,???,933,??????????,19,3,??????????,1,752,3,???????,57,4,1,Frontend ???????????,3,????????,2759,Y,Yes,12,3,4,40,7,2,3,2
40,No,??,404,??????????,2,1,??????????,1,763,4,???????,86,2,1,Frontend ???????????,4,??????,2342,Y,Yes,20,4,4,40,5,2,2,4
38,No,??,268,??????????,2,5,??????????,1,773,4,???????,92,3,1,Frontend ???????????,3,???????/?????,3057,Y,Yes,13,3,2,40,6,0,1,1
33,Yes,??,527,??????????,1,4,???????????? ??????/???,1,740,4,???????,63,3,1,Frontend ???????????,4,??????,2686,Y,Yes,13,3,3,40,10,2,2,10
47,Yes,???,719,?????????????,27,2,????????,1,785,2,???????,77,4,2,???????? ?????????????,3,??????,6397,Y,Yes,12,3,4,40,8,2,3,5
55,Yes,??,725,??????????,2,3,??????????,1,787,4,???????,78,3,5,???????? ???????,1,???????/?????,19859,Y,Yes,13,3,4,40,24,2,3,5
54,No,??,376,??????????,19,4,??????????,1,799,4,???????,95,3,2,Team Leader,1,????????,5485,Y,Yes,11,3,2,40,9,4,3,5
37,No,??,571,??????????,10,1,????????,1,402,4,???????,82,3,1,Frontend ???????????,1,????????,2782,Y,Yes,13,3,2,40,6,3,2,5
38,No,???,240,??????????,2,4,????????,1,403,1,???????,75,4,2,Team Leader,1,??????,5940,Y,Yes,12,3,4,40,17,2,3,15
23,Yes,??,1243,??????????,6,3,????????,1,811,3,???????,63,4,1,Backend ???????????,1,???????/?????,1601,Y,Yes,21,4,3,40,1,2,3,0
29,Yes,??,405,??????????,1,2,????????,1,816,2,???????,36,2,1,Backend ???????????,1,???????/?????,2319,Y,Yes,11,3,4,40,1,1,3,1
47,No,??,202,??????????,2,2,???????????? ??????/???,1,820,3,???????,33,3,4,???????? ???????,4,???????/?????,16752,Y,Yes,11,3,3,40,26,3,2,26
58,Yes,??,286,??????????,2,4,????????,1,825,4,???????,31,3,5,???????????? ??????,2,??????,19246,Y,Yes,12,3,4,40,40,2,3,31
42,No,??,932,??????????,1,2,????????,1,827,4,???????,43,2,2,Team Leader,4,???????/?????,6062,Y,Yes,13,3,4,40,8,4,3,4
30,No,??,946,??????????,2,3,??????????,1,833,3,???????,52,2,2,Team Leader,4,??????,6877,Y,Yes,24,4,2,40,12,4,2,0
27,No,??,269,??????????,5,1,??????? ?.?.?,1,844,3,???????,42,2,3,???????????? ??????,4,????????,12408,Y,Yes,16,3,2,40,9,3,3,9
28,No,??,760,?????????????,2,4,???????,1,846,2,???????,81,3,2,???????? ?????????????,2,???????/?????,4779,Y,Yes,20,4,1,40,8,2,3,8
26,Yes,???,887,??????????,5,2,??????????,1,848,3,???????,88,2,1,Frontend ???????????,3,???????/?????,2366,Y,Yes,14,3,1,40,8,2,3,8
36,No,??,928,?????????????,1,2,????????,1,857,2,???????,56,3,2,???????? ?????????????,4,???????/?????,6201,Y,Yes,14,3,4,40,18,1,2,18
